date,Q_sim_m3s,Q_obs_m3s,P_mm,ET_mm,S_total
1959-08-16,0.7459627142754938,0.755,7.7,3.252,200.28745415049957
1959-08-17,0.7530744848277694,0.768,6.5,3.252,201.41129211236233
1959-08-18,0.7455408309642304,0.753,0.0,3.252,196.8280006088193
1959-08-19,0.7254534874697988,0.737,0.0,3.252,194.97766301986093
1959-08-20,0.7004987283285304,0.723,0.0,3.252,193.79980727662928
1959-08-21,0.674985733943238,0.708,0.0,3.252,192.62491460646737
1959-08-22,0.6553932210780833,0.707,4.0,3.252,192.08893788736054
1959-08-23,0.6630256268864764,0.719,7.5,3.252,194.4548361484622
1959-08-24,0.6839033568675393,0.723,4.8,3.252,194.12131353750178
1959-08-25,0.8084949719264511,1.99,22.2,3.252,208.57723750695345
1959-08-26,0.9797842300294686,0.944,11.1,3.252,211.82856140148175
1959-08-27,1.2283229831257705,5.069,22.5,3.252,224.69629704208074
1959-08-28,1.4294781022293046,0.874,2.7,3.252,219.52382811384967
1959-08-29,1.5297300012794903,0.857,0.0,3.252,213.24708427206414
1959-08-30,1.5964250051275157,1.956,11.8,3.252,218.07951830465922
1959-08-31,1.665123418150587,2.732,13.0,3.252,223.46186283694163
1959-09-01,1.672232315785833,0.931,0.0,3.252,217.3525233981192
1959-09-02,1.6087505421979633,0.913,0.0,3.252,212.26419944323266
1959-09-03,1.4903555893782672,0.895,0.0,3.252,208.17539248312772
1959-09-04,1.5195829651816843,8.36,32.5,3.252,231.83253618324636
1959-09-05,1.5528265742090905,0.927,0.5,3.252,225.3131806569349
1959-09-06,1.535929751615184,0.908,0.0,3.252,219.602953904348
1959-09-07,1.4868582281539762,0.926,4.5,3.252,218.60367104662504
1959-09-08,1.4438241376893808,1.115,8.7,3.252,221.3162737407793
1959-09-09,1.5452845608921872,9.89,30.8,3.252,242.480010584152
1959-09-10,1.8296114986637604,14.918,35.0,3.252,264.7366208724269
1959-09-11,2.110695394867519,2.279,8.0,3.252,261.93359380167794
1959-09-12,2.3063347430386307,1.145,6.0,3.252,258.7405071949072
