date,Q_sim_m3s,Q_obs_m3s,P_mm,Period
1950-10-01,0.8418322825550221,0.996,1.5,Calibration
1950-10-02,0.5085526066733325,0.976,0.0,Calibration
1950-10-03,5.068665908113104,0.978,6.5,Calibration
1950-10-04,16.08339830802006,1.247,18.9,Calibration
1950-10-05,23.395832759951162,4.692,25.8,Calibration
1950-10-06,3.7180926506882823,1.059,1.8,Calibration
1950-10-07,4.852021904571094,1.077,5.5,Calibration
1950-10-08,1.0866300886749762,1.056,0.0,Calibration
1950-10-09,1.110118021491144,1.047,1.8,Calibration
1950-10-10,0.6638463965435425,1.026,0.0,Calibration
1950-10-11,3.503305983912444,1.031,4.5,Calibration
1950-10-12,7.466367717916639,1.062,9.0,Calibration
1950-10-13,12.033358101663923,2.141,13.8,Calibration
1950-10-14,9.666745179590274,1.558,10.4,Calibration
1950-10-15,5.679379010079849,1.169,6.0,Calibration
1950-10-16,6.049032802407597,1.197,7.0,Calibration
1950-10-17,1.357954209113505,1.173,0.0,Calibration
1950-10-18,5.574467439034456,1.197,7.0,Calibration
1950-10-19,8.633223909830553,1.482,10.0,Calibration
1950-10-20,1.7081950479714294,1.213,0.0,Calibration
1950-10-21,0.852944633998717,1.189,0.0,Calibration
1950-10-22,0.7606782777545712,1.165,0.0,Calibration
1950-10-23,1.324449401144658,1.153,2.0,Calibration
1950-10-24,0.8024490682608514,1.13,0.0,Calibration
1950-10-25,0.7022057874936845,1.107,0.0,Calibration
1950-10-26,1.2865692258924883,1.095,2.0,Calibration
1950-10-27,24.110675465556294,4.293,28.0,Calibration
1950-10-28,4.8903208420184,1.136,3.0,Calibration
1950-10-29,2.8037085859818456,1.134,3.0,Calibration
1950-10-30,6.740560538604068,1.165,8.0,Calibration
1950-10-31,1.4135380089152674,1.142,0.0,Calibration
1950-11-01,0.7459951498051309,1.119,0.0,Calibration
1950-11-02,0.6698928323517966,1.096,0.0,Calibration
1950-11-03,0.6440237957207066,1.074,0.0,Calibration
1950-11-04,0.619192917843559,1.053,0.0,Calibration
1950-11-05,0.5924910937023491,1.032,0.0,Calibration
1950-11-06,7.990900915443311,1.054,10.0,Calibration
1950-11-07,5.5087867151749865,1.063,6.0,Calibration
1950-11-08,1.1468178300591427,1.042,0.0,Calibration
1950-11-09,0.6171078488253204,1.021,0.0,Calibration
1950-11-10,0.5537860378359841,1.0,0.0,Calibration
1950-11-11,0.5300911574191948,0.98,0.0,Calibration
1950-11-12,0.6594020766893013,0.964,1.0,Calibration
1950-11-13,0.5194715993103609,0.945,0.0,Calibration
1950-11-14,0.47186322988642077,0.926,0.0,Calibration
1950-11-15,0.44666951501576085,0.908,0.0,Calibration
1950-11-16,3.716369577457806,0.903,5.0,Calibration
1950-11-17,4.096439896103178,0.899,5.0,Calibration
1950-11-18,7.453548870646607,0.909,9.0,Calibration
1950-11-19,1.2962754237733156,0.891,0.0,Calibration
